130	149	0.87	29053	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/cal.com/apps/web/modules/event-types/components/locations/HostLocations.tsx
128	128	1.00	65002	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/excalidraw/actions/actionProperties.tsx
126	116	1.09	29712	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/cal.com/packages/platform/atoms/availability/AvailabilitySettings.tsx
125	136	0.92	29476	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/excalidraw/components/ExcalidrawLogo.tsx
125	113	1.11	44077	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf-8cdfbb/corpus/grafana/public/app/features/alerting/unified/components/import-to-gma/ImportToGMA.tsx
124	67	1.85	36991	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf-8cdfbb/corpus/grafana/public/app/features/auth-config/fields.tsx
124	67	1.85	31196	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf-8cdfbb/corpus/grafana/public/app/features/dashboard-scene/scene/DashboardControls.test.tsx
124	107	1.16	88999	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/excalidraw/components/icons.tsx
122	78	1.56	25845	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf-8cdfbb/corpus/grafana/public/app/plugins/panel/canvas/components/connections/Connections2.tsx
120	87	1.38	31526	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf-8cdfbb/corpus/grafana/public/app/features/provisioning/Wizard/ProvisioningWizard.test.tsx
118	97	1.22	48684	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/element/tests/zindex.test.tsx
116	148	0.78	34184	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/element/tests/align.test.tsx
115	77	1.49	26410	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf-8cdfbb/corpus/grafana/public/app/features/dashboard-scene/edit-pane/DashboardEditPane.test.tsx
115	67	1.72	31147	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/excalidraw/wysiwyg/textWysiwyg.tsx
115	58	1.98	38553	/root/home/opensrc/oxc/.claude/worktrees/react-compiler-perf/target/corpus/excalidraw/packages/excalidraw/tests/selection.test.tsx
